ingredient_id,ingredient_name
1,스파게티면
2,마늘
3,소금
4,칠리 플레이크
5,떡
6,고추장
7,캐러멜
8,갈비
9,당근
10,양파
11,토마토페이스트
12,월계수
13,두부
14,다진 돼지고기
15,된장
16,청양고추
17,파
18,밥
19,멍게
20,해삼
21,오징어
22,미역
23,김
24,아보카도
25,비트
26,연근
27,무
28,닭다리살
29,설탕
30,대파
31,돼지목살
32,생강
33,랍스터살
34,고추
35,전복 2마리(약
36,버터
37,감태
38,라임
39,돼지고기(앞다리살)
40,팔각
41,계피
42,돼지등심
43,빵가루
44,달걀
45,캐비아
46,수박
47,루꼴라
48,후추
49,한우(우둔)
50,머스터드
51,달걀노른자
52,밀가루(반죽)
53,토마토소스
54,모짜렐라치즈
55,바질
56,한우 채끝
57,와사비
58,대구살
59,아스파라거스
60,방울토마토
61,브로콜리
62,부추
63,새우살
64,밀가루피
65,전복
66,밀가루
67,카레가루
68,광어살
69,튀김옷
70,흑돼지
71,감자
72,파스타면
73,한국식 양념
74,오이
75,게맛살
76,단무지
77,곱창
78,짜장소스
79,면
80,애호박
81,청경채
82,닭고기
83,참치
84,닭
85,인삼
86,대추
87,찹쌀
88,돼지고기
89,라면
90,키위
91,김치
92,베이컨
93,식빵
94,전분
95,불고기
96,파프리카
97,푸아그라
98,무순
99,카레소스
100,문어
101,레몬
102,허브
103,시래기
104,부침가루
105,할라피뇨
106,고수
107,소고기
108,연어
109,치즈
110,닭껍질
111,양배추
112,가지
113,고구마
114,멸치
115,순두부
116,버섯
117,먹물
118,찹쌀떡
119,한우육회
120,배
121,타르트지
122,해물 믹스
123,고등어
124,마라소스
125,배추
126,삼겹살
127,계란
128,케첩
129,소고기 안심
130,감자퓨레
131,과일젤리
132,초콜릿칩
133,스팸
134,라자냐면
135,청국장
136,퀴노아
137,체리
138,초코시럽
139,콩자반
140,베이킹파우더
141,당면
142,크레페 반죽
143,당근채
144,양파채
145,빨간 파프리카
146,초콜릿
147,바나나
148,짜장라면
149,새우
150,만두피
